name,img,text,url
黑痘病,http://photocdn.sohu.com/20150626/mp20302559_1435315404941_1.jpg,葡萄黑痘病又名疮痂病，俗称“鸟眼病”，是葡萄上的一种主要病害。主要危害葡萄的绿色幼嫩部位如果实、果梗、叶片、叶柄、新梢和卷须等。,https://baike.baidu.com/item/%E8%91%A1%E8%90%84%E9%BB%91%E7%97%98%E7%97%85
炭疽病,http://att.191.cn/attachment/Mon_1006/63_92407_d2650a7d85279d3.jpg?133,葡萄炭疽病又名晚腐病，在中国各葡萄产区发生较为普遍。为害果实较严重；在南方高温多雨的地区，早春也可引起葡萄花穗腐烂。,https://baike.baidu.com/item/%E8%91%A1%E8%90%84%E7%82%AD%E7%96%BD%E7%97%85
转色病,http://photocdn.sohu.com/20150626/mp20302559_1435315404941_10.jpg,一般表现在树势弱、摘心重、负载量过多、肥料不足或有效叶面积小时；在留1次果数量较多，又留用较多的2次果时，尤其是土壤瘠薄又发生干旱时发病严重；地势低洼、土壤粘重，易积水处发病重；在果实成熟期高温后遇雨，田间湿度大、温度高，影响养分的转化，发病也重。总之，是由诸多因素综合作用所致。,https://baike.baidu.com/item/%E8%91%A1%E8%90%84%E8%BD%AC%E8%89%B2%E7%97%85/3218214
恶苗病,https://www.zhifure.com/upload/images/2017/9/7171220372.jpg,水稻恶苗病又称徒长病，中国各稻区均有发生。病谷粒播后常不发芽或不能出土。苗期发病病苗比健苗细高，叶片叶鞘细长，叶色淡黄，根系发育不良，部分病苗在移栽前死亡。在枯死苗上有淡红或白色霉粉状物，即病原菌的分生孢子。湿度大时，枯死病株表面长满淡褐色或白色粉霉状物，后期生黑色小点即病菌囊壳。病轻的提早抽穗，穗形小而不实。抽穗期谷粒也可受害，严重的变褐，不能结实，颖壳夹缝处生淡红色霉，病轻不表现症状，但内部已有菌丝潜伏。,https://baike.baidu.com/item/%E6%B0%B4%E7%A8%BB%E6%81%B6%E8%8B%97%E7%97%85
白叶枯病,https://gss0.bdstatic.com/94o3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike80%2C5%2C5%2C80%2C26/sign=92e7181de950352aa56c2d5a322a9097/4610b912c8fcc3ce6be9de999245d688d43f206a.jpg,白叶枯病主要发生于叶片及叶鞘上。初起在叶缘产生半透明黄色小斑，以后沿叶缘一侧或两侧或沿中脉发展成波纹状的黄绿或灰绿色病斑；病部与健部分界线明显；数日后病斑转为灰白色，并向内卷曲，远望一片枯槁色，故称白叶枯病。,https://baike.baidu.com/item/%E7%99%BD%E5%8F%B6%E6%9E%AF%E7%97%85/8984785
稻瘟病,https://gss1.bdstatic.com/-vo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike72%2C5%2C5%2C72%2C24/sign=8e70adcaf736afc31a013737d27080a1/342ac65c1038534376cd672b9313b07eca8088be.jpg,稻瘟病是水稻重要病害之一，可引起大幅度减产，严重时减产40%～50%，甚至颗粒无收。世界各稻区均匀发生。本病在各地均有发生，其中以叶部、节部发生为多，发生后可造成不同程度减产，尤其穗颈瘟或节瘟发生早而重，可造成白穗以致绝产。近年来，广东稻瘟病年发生面积不少于50万亩，而且出现逐年增加趋势，局部大爆发并不少见，目前，稻瘟病可能发生在省域内的任何年头、任何季节。,https://baike.baidu.com/item/%E7%A8%BB%E7%98%9F%E7%97%85/2947393
灰斑病,https://gss1.bdstatic.com/-vo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike72%2C5%2C5%2C72%2C24/sign=c6064f11d30735fa85fd46ebff3864d6/0d338744ebf81a4c3c1101c3d02a6059252da69d.jpg,大豆灰斑病又称褐斑病、斑点病或蛙眼病。大豆灰斑病是世界性病害，也是我国大豆主产区的重要病害，尤以东北三省危害严重。是一个真菌病害， 病原菌是 Cercospora sojina。,https://baike.baidu.com/item/%E7%81%B0%E6%96%91%E7%97%85/12651500?fromtitle=%E5%A4%A7%E8%B1%86%E7%81%B0%E6%96%91%E7%97%85&fromid=10129425
霜霉病,https://gss2.bdstatic.com/9fo3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268/sign=cd173582232dd42a5f0906ad3b3a5b2f/30adcbef76094b36b6927b06a5cc7cd98c109ddc.jpg,霜霉病广泛分布世界各大豆产区。1921年首先发现于中国的东北地区，以东北和华北发生较普遍，大豆生育期气候凉爽的地区发病较重。但多数为害性不大，严重时引起早期落叶、叶片凋枯、种粒霉烂，减产达30%～50%。幼苗、成株叶片、荚及豆粒均可被害。带菌种子长出的幼苗，可系统发病。,https://baike.baidu.com/item/%E5%A4%A7%E8%B1%86%E9%9C%9C%E9%9C%89%E7%97%85
菌核病,https://gss0.bdstatic.com/-4o3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike180%2C5%2C5%2C180%2C60/sign=f979625eb4b7d0a26fc40ccfaa861d6c/b58f8c5494eef01f6e641629e6fe9925bd317ded.jpg,大豆菌核病是大豆在种植到七月下旬之后易发作的真菌病害。危害的真菌核盘菌，属于子囊菌亚门。最初茎秆上生有褐色病斑，以后病斑上长有白色棉絮状菌丝体及白色颗粒，后变黑色颗粒（菌核）。纵剖病株茎秆，可见黑色圆柱形老鼠屎一样的菌核，病株常枯死呈白色。该种病害可以通过轮作或喷洒农药等方式防治。,https://baike.baidu.com/item/%E5%A4%A7%E8%B1%86%E8%8F%8C%E6%A0%B8%E7%97%85/10129338
纹枯病,https://gss2.bdstatic.com/9fo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike80%2C5%2C5%2C80%2C26/sign=8fe626f1f1deb48fef64a98c9176514c/0b55b319ebc4b74531b50b86cdfc1e178a821578.jpg,玉米纹枯病(corn sheath blight)在中国最早于1966年在吉林省有发生报道。20世纪70年代以后，由于玉米种植面积的迅速扩大和高产密植栽培技术的推广，玉米纹枯病发展蔓延较快，已在全国范围内普遍发生，且危害日趋严重。一般发病率在70%～100%，造成的减产损失在10%－20%，严重的高达35%。由于该病害危害玉米近地面几节的叶鞘和茎杆，引起茎基腐败，破坏输导组织，影响水分和营养的输送，因此造成的损失较大。,https://baike.baidu.com/item/%E7%8E%89%E7%B1%B3%E7%BA%B9%E6%9E%AF%E7%97%85
褐斑病,https://gss2.bdstatic.com/9fo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike180%2C5%2C5%2C180%2C60/sign=d346b24c0afa513d45a7648c5c043e9e/2934349b033b5bb58b23076e34d3d539b700bcad.jpg,玉米褐斑病是近年来在我国发生严重且较快的一种玉米病害。该病害在全国各玉米产区均有发生，其中在河北、山东、河南、安徽、江苏等省危害较重。该病主要发生在玉米叶片、叶鞘及茎秆上。先在顶部叶片的尖端发生，最初为黄褐色或红褐色小斑点，病斑呈圆形或椭圆形，严重时叶片上全部布满病斑，在叶鞘上和叶脉上出现较大的褐色斑点，发病后期叶片的病斑处呈干枯状。,https://baike.baidu.com/item/%E7%8E%89%E7%B1%B3%E8%A4%90%E6%96%91%E7%97%85
锈病,https://gss1.bdstatic.com/9vo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike80%2C5%2C5%2C80%2C26/sign=54b96a5e9b25bc313f5009ca3fb6e6d4/8b82b9014a90f6030ac123d73b12b31bb051ed29.jpg,玉米锈病是我国华南、西南一带重要病害。主要侵染叶片，严重时也可侵染果穗、苞叶乃至雄花。 病原称玉米柄锈，属担子菌亚门真菌。夏孢子堆黄褐色。夏孢子浅褐色，椭圆形至亚球状，具细刺。,https://baike.baidu.com/item/%E7%8E%89%E7%B1%B3%E9%94%88%E7%97%85
