库编号,统一编号,保存单位,品种名称,译名,科名,属名,学名,系谱,育成年限,原产地,高程,东经,北纬,来源国,芒,壳色,粒色,冬春性,成熟期,穗粒数,穗长,株高,千粒重,粗蛋白,赖氨酸,沉淀值,硬度,容重,抗旱性,耐涝性,芽期耐盐,苗期耐盐,田间抗寒性,人工抗寒性,条锈严重度,条锈反应型,条锈普遍率,叶锈严重度,叶锈反应型,叶锈普遍率,秆锈严重度,秆锈反应型,秆锈普遍率,白粉严重度,白粉反应型,黄矮病,赤霉病病穗,赤霉病病指,赤霉病指数,赤霉病抗性,根腐叶病级,根腐穗病级,其它,省,样品类型
I1B00012,MY000057,京10035,农林15,nong lin 15,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,冬,极早,无,无,125,无,15.92,0.43,无,25.5,无,3,无,无,无,无,无,65,S,100,40,S,100,80,S,100,7,4,6,100,90,4.9,S,S,R,无,国外,国外
I1B00190,MY000058,京11608,农林16,nong lin 16,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,冬,早,无,无,70,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00565,MY000059,京10036,农林18,nong lin 18,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白毛,红,弱冬,早,无,无,77,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B04583,MY000060,京11588,农林20,nong lin 20,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,春,中,无,无,90,无,14.97,0.42,无,无,无,5,3,无,无,无,无,80,S,100,10,MS,100,80,S,100,8,4,6,100,81.7,4.7,S,S,R,无,国外,国外
I1B07766,MY000061,京10037,农林22,nong lin 22,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,红,红,冬,早,无,无,104,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00013,MY000062,京10038,农林24,nong lin 24,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,红,红,冬,极早,无,无,99,无,无,无,无,无,无,无,4,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B07955,MY000063,京10039,农林25,nong lin 25,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,短,红,红,冬,早,无,无,85,无,无,无,无,25.1,无,3,无,无,无,无,无,40,S,80,25,S,100,80,S,100,6,4,6,100,78.3,4.7,S,S,R,无,国外,国外
I1B07956,MY000064,京11589,农林26,nong lin 26,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,弱冬,早,无,无,无,无,无,无,无,34.8,无,4,无,无,无,无,无,25,MS,50,80,S,100,40,S,100,6,4,4,90,54.2,4.4,S,MR,R,无,国外,国外
I1B07957,MY000065,京10040,农林27,nong lin 27,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,冬,早,无,无,115,无,无,无,无,28.9,无,2,无,无,无,无,无,65,MS,80,5,MS,100,80,S,100,7,4,5,100,89.2,4.8,S,S,R,无,国外,国外
I1B00566,MY000066,京11590,农林29,nong lin 29,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,春,中,无,无,110,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00014,MY000067,京10041,农林31,nong lin 31,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,强冬,中,无,无,95,无,无,0.49,无,18.8,无,5,4,无,无,无,无,40,S,100,5,MS,40,100,S,100,5,4,3,100,85.6,4.6,S,MR,无,无,国外,国外
I1B07958,MY000068,京10042,农林32,nong lin 32,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,弱冬,中,无,无,90,无,无,无,无,24.5,无,5,无,无,无,无,无,40,S,80,65,S,100,80,S,100,9,4,6,100,80.8,4.7,S,MS,R,无,国外,国外
I1B07959,MY000069,京10043,农林33,nong lin 33,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白毛,红,弱冬,晚,无,无,90,无,无,无,无,48.3,无,5,无,无,无,无,无,25,S,80,5,S,100,80,S,100,8,4,4,73.3,34.2,4.1,S,S,R,无,国外,国外
I1B04584,MY000070,京11609,农林34,nong lin 34,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,春,中,无,无,98,无,16.42,0.45,无,无,无,5,3,无,无,无,无,80,S,100,5,S,100,100,S,100,9,4,6,100,75.8,4.7,S,S,R,无,国外,国外
I1B07960,MY000071,京11610,农林35,nong lin 35,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,弱冬,中,无,无,100,无,无,无,无,16,无,5,无,无,无,无,无,无,无,无,5,S,100,无,无,无,6,4,无,100,73.3,4.7,S,MS,R,无,国外,国外
I1B07961,MY000072,京10044,农林36,nong lin 36,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,弱冬,中,无,无,114,无,无,无,无,40.8,无,5,无,无,无,无,无,65,S,100,65,MS,100,100,S,100,7,4,4,66.7,32.5,4,MS,MS,R,无,国外,国外
I1B00569,MY000073,京10045,农林37,nong lin 37,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,弱冬,早,无,无,118,无,无,无,无,无,无,无,无,无,无,无,无,65,S,100,65,S,100,100,S,100,6,4,3,100,62.5,4.3,S,MS,R,无,国外,国外
I1B07767,MY000074,京10046,农林38,nong lin 38,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,短,红,红,强冬,中,无,无,113,无,16.35,0.42,无,17.9,无,3,无,无,无,无,无,80,S,100,10,S,100,80,S,100,7,4,7,100,89.2,4.8,S,S,R,无,国外,国外
I1B00015,MY000075,京10047,农林39,nong lin 39,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,白,红,强冬,早,无,无,116,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B04812,MY000076,京10048,农林40,nong lin 40,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,白,红,春,晚,无,无,102,无,14.55,0.37,无,无,无,无,无,无,无,无,无,25,S,50,80,MS,100,80,S,100,8,4,6,100,55.8,4.4,S,MS,MS,无,国外,国外
I1B00016,MY000077,京10049,农林41,nong lin 41,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,红,红,强冬,早,无,无,93,无,16.5,0.44,无,33.4,无,3,无,无,无,无,无,65,S,100,25,MS,100,80,S,100,5,3,7,100,91.7,5,S,MR,R,无,国外,国外
I1B00017,MY000078,京10050,农林42,nong lin 42,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,强冬,中,无,无,95,无,18,0.45,无,14.9,无,4,无,无,无,无,无,40,S,100,80,S,100,80,S,100,6,3,5,100,87.5,4.8,S,S,R,无,国外,国外
I1B04585,MY000079,京11611,农林43,nong lin 43,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,春,早,无,无,78,无,16.13,0.44,无,无,无,5,无,无,无,无,无,80,S,100,10,S,100,100,S,100,8,4,6,100,79.2,4.7,S,S,R,无,国外,国外
I1B00018,MY000080,京10051,农林44,nong lin 44,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,白毛,红,冬,早,无,无,92,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00570,MY000081,京11591,农林45,nong lin 45,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,春,中,无,无,80,无,无,无,无,47,无,无,3,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00490,MY000082,京10052,农林46,nong lin 46,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,春,中,无,无,90,无,12.94,0.4,无,无,无,无,1,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B04813,MY000083,京10053,农林47,nong lin 47,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,春,中,无,无,90,无,12.09,0.35,无,无,无,无,无,无,无,无,无,100,S,100,65,MS,100,100,S,100,9,4,6,100,62.5,4.6,S,MS,MS,无,国外,国外
I1B00571,MY000084,京10054,农林48,nong lin 48,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,弱冬,中,无,无,78,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B07768,MY000085,京10055,农林50,nong lin 50,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,冬,中,无,无,100,无,16.55,0.44,无,无,无,5,无,无,无,无,无,100,S,100,65,S,100,80,S,100,5,4,7,100,81.7,4.8,S,MR,R,无,国外,国外
I1B00572,MY000086,京11592,农林51,nong lin 51,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,春,中,无,无,80,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00491,MY000087,京10056,农林52,nong lin 52,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,春,中,无,无,90,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00573,MY000088,京11612,农林53,nong lin 53,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,白,弱冬,早,无,无,80,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00019,MY000089,京10057,农林54,nong lin 54,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,冬,极早,无,无,83,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00020,MY000090,京10058,农林55,nong lin 55,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,红,红,冬,早,无,无,105,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00574,MY000091,京10059,农林56,nong lin 56,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,弱冬,早,无,无,93,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B07962,MY000092,京10060,农林57,nong lin 57,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,冬,早,无,无,90,无,无,无,无,29.5,无,5,3,无,无,无,无,65,S,100,25,MS,100,80,S,100,7,4,4,100,89.2,4.8,S,S,R,无,国外,国外
I1B00021,MY000093,京10061,农林58,nong lin 58,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,红毛,红,强冬,中,无,无,95,无,无,无,无,15.1,无,4,无,无,无,无,无,40,S,100,5,S,100,80,S,100,7,3,7,100,89.2,4.8,S,MR,R,无,国外,国外
I1B00022,MY000094,京10062,农林59,nong lin 59,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,冬,早,无,无,85,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B26190,MY000095,中75_95,农林60,nong lin 60,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,弱冬,中,无,无,73,无,16.11,0.49,无,37.7,无,无,无,无,无,无,无,80,S,100,25,MS,100,80,S,100,5,4,3,100,72.5,4.6,S,MS,R,无,国外,国外
I1B07963,MY000096,京11593,农林61,nong lin 61,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,红,红,弱冬,极早,无,无,104,无,无,无,无,15,无,4,无,无,无,无,无,无,无,无,25,S,100,无,无,无,无,无,无,100,80,4.7,S,MR,MR,无,国外,国外
I1B00023,MY000097,京10064,农林62,nong lin 62,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,强冬,早,无,无,107,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00575,MY000098,京11613,农林63,nong lin 63,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,弱冬,中,无,无,73,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B26445,MY000099,京10065,农林64,nong lin 64,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,冬,早,无,无,93,无,无,无,无,无,无,无,3,无,无,无,无,80,S,100,65,MS,100,80,S,100,8,4,3,100,68.3,4.3,S,MS,R,无,国外,国外
I1B00024,MY000100,京10066,农林65,nong lin 65,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,红,红,强冬,极早,无,无,100,无,无,无,无,13.4,无,3,无,无,无,无,无,80,S,100,10,MS,100,65,S,100,7,4,6,100,67.5,4.6,S,S,R,无,国外,国外
I1B00025,MY000101,京10067,农林66,nong lin 66,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,红,红,强冬,极早,无,无,105,无,无,无,无,20.5,无,3,无,无,无,无,无,65,S,100,10,S,100,80,S,100,7,4,7,100,67.5,4.6,S,S,R,无,国外,国外
I1B00026,MY000102,京10068,农林67,nong lin 67,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,冬,中,无,无,98,无,11.25,0.32,无,23.9,无,4,无,无,无,无,无,65,S,100,40,S,100,65,S,100,8,4,5,100,85,4.8,S,S,R,无,国外,国外
I1B00027,MY000103,京10069,农林68,nong lin 68,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,冬,中,无,无,94,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B26191,MY000104,京10070,农林69,nong lin 69,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,强冬,中,无,无,98,无,14.79,0.46,无,40,无,无,无,无,无,无,无,80,S,100,10,MS,100,100,S,100,4,3,3,100,43.3,4.1,S,MR,MR,无,国外,国外
I1B07964,MY000105,京10071,农林70,nong lin 70,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,冬,中,无,无,80,无,无,无,无,32.6,无,4,无,无,无,无,无,65,S,100,100,MS,100,65,S,100,4,3,5,100,93.6,5,S,S,R,无,国外,国外
I1B00028,MY000106,京10072,农林71,nong lin 71,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,冬,早,无,无,80,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
无,MY000107,京10073,农林72,nong lin 72,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,冬,早,无,无,80,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B27445,MY000108,京10074,农林73,nong lin 73,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,红,红,冬,早,无,无,91,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B10840,MY000109,京11614,农林75,nong lin 75,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,春,中,无,无,107,无,16.01,0.47,无,13.5,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00191,MY000110,京11615,农林77,nong lin 77,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,冬,中,无,无,85,无,无,无,无,无,无,3,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00192,MY000111,京11616,农林81,nong lin 81,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,白,红,冬,极早,无,无,91,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00193,MY000112,京11617,农林82,nong lin 82,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,红,红,冬,早,无,无,85,无,无,无,无,无,无,无,3,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B27446,MY000113,京11618,农林87,nong lin 87,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,冬,早,无,无,63,无,15.29,0.41,无,30.4,无,3,无,无,无,无,无,25,S,100,5,MS,100,65,S,100,6,4,7,100,80.8,4.7,S,S,R,无,国外,国外
